# Hydro quantities of LS220-s20.0-MUONS at time t_pb= 1.0001464s
shock radius= 5382.0221 km, gain radius= 19.650524 km
# cols=25 rows=1089 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
         11666.6670  0.00001178468658  8.8094003166e+14  1.1291166129e+35  2.2019919329e+01      1.3509218208 -9.9207847444e+06      0.5971318733    156.5116291209    315.8474060587    235.1601957851     77.1177089380     21.1848578461   -138.1509190917      0.7265174896      0.2734825104      0.0000000000      0.0000000000      0.0000000000      0.2733912269      0.0000912834    134.1989850732     31.0968597032    939.5656305188    938.2723404280
         35000.0010  0.00010596971771  8.7995263628e+14  1.1261453349e+35  2.2005306169e+01      1.3509221133  7.0899188059e+05      0.5972884053    156.5144322689    315.7202836315    234.6873061823     76.7747449104     21.2592688686   -137.9465824941      0.7265487533      0.2734512467      0.0000000000      0.0000000000      0.0000000000      0.2733597750      0.0000914718    133.7978265162     30.7941153073    939.5656305188    938.2723404280
         58333.3340  0.00041165799645  8.7849645931e+14  1.1265873219e+35  2.2157424091e+01      1.3618071078 -4.2827161493e+04      0.5976340141    158.6174980347    316.2582178488    233.2494645123     76.9020347890     19.7297982107   -137.9109216034      0.7245536756      0.2754463244      0.0000000000      0.0000000000      0.0000000000      0.2753598514      0.0000864730    132.7429588502     30.8093472068    939.5656305188    938.2723404280
         92719.9922  0.00173621063710  8.7485847993e+14  1.1117806792e+35  2.2173770421e+01      1.3627163037 -3.3116032267e+05      0.5984465535    155.1771337595    314.5402172088    232.4675702230     74.3977768645     21.8340201054   -137.5290633438      0.7277180088      0.2722819912      0.0000000000      0.0000000000      0.0000000000      0.2721827651      0.0000992261    131.9487396798     28.9991712847    939.5656305188    938.2723404280
        130188.5000  0.00421644851161  8.6939232924e+14  1.0981552347e+35  2.2431279350e+01      1.3798814590  4.4123264382e+04      0.5996778430    154.3601469692    313.4795993894    229.8339579035     72.0077955740     22.1608096898   -136.9586427305      0.7283564781      0.2716435219      0.0000000000      0.0000000000      0.0000000000      0.2715354057      0.0001081161    129.8094172393     27.2046616882    939.5656305188    938.2723404280
        154510.9062  0.00684612097561  8.6496426675e+14  1.0898480121e+35  2.2732874643e+01      1.3996501633 -1.1755407255e+05      0.6007269317    154.9075760506    313.0411616677    227.2677170022     70.4274214759     21.6539320065   -136.4796536105      0.7277013247      0.2722986753      0.0000000000      0.0000000000      0.0000000000      0.2721858455      0.0001128298    127.8030878031     26.0061432447    939.5656305188    938.2723404280
        170299.6172  0.00907855109124  8.6169030189e+14  1.0828126745e+35  2.2938553424e+01      1.4129816067 -5.6365038158e+04      0.6014764203    154.7073691700    312.5026397959    225.5437790710     69.0417985360     21.6942321948   -136.1010384311      0.7277744733      0.2722255267      0.0000000000      0.0000000000      0.0000000000      0.2721068525      0.0001186742    126.4387693494     24.9906651549    939.5656305188    938.2723404280
        180548.7422  0.01077447011661  8.5938985506e+14  1.0782406463e+35  2.3096043371e+01      1.4231459700 -7.4912536778e+04      0.6019945415    154.7249506286    312.1789921496    224.2734160313     68.1126646011     21.6155851773   -135.8384563437      0.7276716110      0.2723283890      0.0000000000      0.0000000000      0.0000000000      0.2722055812      0.0001228078    125.4427323009     24.3091309659    939.5656305188    938.2723404280
        187201.8828  0.01198610586889  8.5782302183e+14  1.0750941669e+35  2.3204154557e+01      1.4300688432 -6.5296094527e+04      0.6023443839    154.7021170590    311.9455783454    223.4162428582     67.4660716626     21.5858358770   -135.6576254094      0.7276328574      0.2723671426      0.0000000000      0.0000000000      0.0000000000      0.2722412713      0.0001258713    124.7698341461     23.8368582388    939.5656305188    938.2723404280
        192513.8672  0.01302374398664  8.5652845076e+14  1.0725306573e+35  2.3294907355e+01      1.4358651713 -6.5605604458e+04      0.6026310955    154.6960387628    311.7569925604    222.7023376412     66.9346739344     21.5516075595   -135.5093462381      0.7275882413      0.2724117587      0.0000000000      0.0000000000      0.0000000000      0.2722833734      0.0001283854    124.2101849295     23.4487462878    939.5656305188    938.2723404280
        197976.5859  0.01415048768152  8.5515810511e+14  1.0698288123e+35  2.3392178157e+01      1.4420512159 -6.4622460909e+04      0.6029330223    154.6862582198    311.5558354772    221.9458562615     66.3695690949     21.5181557191   -135.3514215384      0.7275432793      0.2724567207      0.0000000000      0.0000000000      0.0000000000      0.2723256129      0.0001311077    123.6174030395     23.0367275311    939.5656305188    938.2723404280
        203594.3125  0.01537387308947  8.5370750352e+14  1.0669836244e+35  2.3496461817e+01      1.4486559927 -6.3246414554e+04      0.6032522384    154.6739053245    311.3418056215    221.1436976432     65.7690874370     21.4849446529   -135.1829556441      0.7274966583      0.2725033417      0.0000000000      0.0000000000      0.0000000000      0.2723692448      0.0001340969    122.9891330519     22.5995904301    939.5656305188    938.2723404280
        209371.4453  0.01670205686218  8.5217192973e+14  1.0639878155e+35  2.3608261843e+01      1.4557062754 -6.2009496850e+04      0.6035897453    154.6587758523    311.1141048891    220.2930145077     65.1309755617     21.4521334027   -135.0031956342      0.7274483186      0.2725516814      0.0000000000      0.0000000000      0.0000000000      0.2724143524      0.0001373290    122.3231737566     22.1357558471    939.5656305188    938.2723404280
        215312.5078  0.01814386357836  8.5054643983e+14  1.0608335972e+35  2.3728111177e+01      1.4632309085 -6.1251897668e+04      0.6039465877    154.6405224550    310.8718293931    219.3908341146     64.4528172673     21.4199647876   -134.8113421504      0.7273983018      0.2726016982      0.0000000000      0.0000000000      0.0000000000      0.2724608573      0.0001408409    121.6172228216     21.6435323949    939.5656305188    938.2723404280
        221422.1484  0.01970882854962  8.4881745459e+14  1.0575389956e+35  2.3856564350e+01      1.4713655288 -6.0874406638e+04      0.6043238672    154.6184831674    310.6143356793    218.4239135536     63.7213511325     21.3893122271   -134.6065402848      0.7273431803      0.2726568197      0.0000000000      0.0000000000      0.0000000000      0.2725121379      0.0001446818    120.8642774633     21.1192761656    939.5656305188    938.2723404280
        227705.1562  0.02140725772552  8.4698331250e+14  1.0540844414e+35  2.3995143724e+01      1.4801234088 -6.0622494907e+04      0.6047227518    154.5916112102    310.3398283256    217.3940107046     62.9390836800     21.3610636846   -134.3871534308      0.7272851668      0.2727148332      0.0000000000      0.0000000000      0.0000000000      0.2725659603      0.0001488728    120.0639771285     20.5617787022    939.5656305188    938.2723404280
        234166.4531  0.02325029279228  8.4504056462e+14  1.0504528074e+35  2.4144513109e+01      1.4895087634 -6.0501603355e+04      0.6051444736    154.5591251340    310.0469596557    216.3005302968     62.1059858659     21.3356926705   -134.1521418512      0.7272257190      0.2727742810      0.0000000000      0.0000000000      0.0000000000      0.2726207769      0.0001535042    119.2149227374     19.9694223535    939.5656305188    938.2723404280
        240811.0938  0.02524996879675  8.4298257319e+14  1.0466424233e+35  2.4305332014e+01      1.4995576491 -6.0860513040e+04      0.6055903346    154.5200896646    309.7329687270    215.1389236853     61.2193347137     21.3124679990   -133.9004110634      0.7271634250      0.2728365750      0.0000000000      0.0000000000      0.0000000000      0.2726779912      0.0001585839    118.3136165034     19.3401915753    939.5656305188    938.2723404280
        247644.2734  0.02741927154687  8.4079766656e+14  1.0427143933e+35  2.4479270820e+01      1.5103870832 -6.1571333596e+04      0.6060617134    154.4740149853    309.3853145998    213.8969672934     60.2789577697     21.2812972812   -133.6300023333      0.7270825420      0.2729174580      0.0000000000      0.0000000000      0.0000000000      0.2727529147      0.0001645432    117.3512249003     18.6735592915    939.5656305188    938.2723404280
        254671.3438  0.02977221477481  8.3848231561e+14  1.0385924056e+35  2.4667492355e+01      1.5220241567 -6.2427000646e+04      0.6065600631    154.4193457669    309.0136456799    212.5770061668     59.2759963446     21.2550002123   -133.3392997006      0.7269994021      0.2730005979      0.0000000000      0.0000000000      0.0000000000      0.2728294442      0.0001711537    116.3293504741     17.9645228617    939.5656305188    938.2723404280
        261897.8125  0.03232391808037  8.3602868173e+14  1.0342676342e+35  2.4871249223e+01      1.5345300823 -6.3343533923e+04      0.6070869147    154.3547255722    308.6160943558    211.1740041397     58.2059254470     21.2348125939   -133.0265561897      0.7269144577      0.2730855423      0.0000000000      0.0000000000      0.0000000000      0.2729070360      0.0001785063    115.2442075459     17.2101490325    939.5656305188    938.2723404280
        269329.3438  0.03509064849701  8.3341110660e+14  1.0297811762e+35  2.5091703079e+01      1.5481683705 -6.4604183948e+04      0.6076438865    154.2782141559    308.1914157469    209.6608246615     57.0409131612     21.2232279400   -132.6899736511      0.7268208499      0.2731791501      0.0000000000      0.0000000000      0.0000000000      0.2729924065      0.0001867436    114.0823826055     16.4033893928    939.5656305188    938.2723404280
        276971.7500  0.03808991276007  8.3063398679e+14  1.0250860194e+35  2.5331566188e+01      1.5628927837 -6.6221597297e+04      0.6082326834    154.1871390047    307.7358591695    208.0489263157     55.7934962416     21.2223034197   -132.3264167452      0.7267257981      0.2732742019      0.0000000000      0.0000000000      0.0000000000      0.2730782193      0.0001959826    112.8468319762     15.5435532048    939.5656305188    938.2723404280
        284831.0156  0.04134057932458  8.2768950749e+14  1.0201651474e+35  2.5592175249e+01      1.5787486470 -6.8429859016e+04      0.6088550961    154.0785167854    307.2467273861    206.3342420060     54.4593214961     21.2344885031   -131.9337220976      0.7266318826      0.2733681174      0.0000000000      0.0000000000      0.0000000000      0.2731617666      0.0002063508    111.5339651813     14.6270575677    939.5656305188    938.2723404280
        292913.2969  0.04486294542761  8.2456825628e+14  1.0150057343e+35  2.5875024107e+01      1.5958106912 -7.1110572375e+04      0.6095130088    153.9500813495    306.7214205636    204.5105842238     53.0325351005     21.2618049584   -131.5095342557      0.7265403013      0.2734596987      0.0000000000      0.0000000000      0.0000000000      0.2732412743      0.0002184244    110.1390703558     13.6500357442    939.5656305188    938.2723404280
        301224.9219  0.04867881757883  8.2125707564e+14  1.0097419838e+35  2.6181739758e+01      1.6143295023 -7.5175531052e+04      0.6102084136    153.7990411813    306.1683018592    202.7049037971     51.6289332101     21.3181366792   -131.0511239987      0.7264228860      0.2735771140      0.0000000000      0.0000000000      0.0000000000      0.2733444166      0.0002326974    108.7908274093     12.7332200877    939.5656305188    938.2723404280
        309772.3906  0.05281156378014  8.1773184432e+14  1.0043346764e+35  2.6514728838e+01      1.6344644774 -8.0121206729e+04      0.6109434030    153.6192523498    305.5784712385    200.8366340335     50.1707052356     21.4042639458   -130.5549549428      0.7262903915      0.2737096085      0.0000000000      0.0000000000      0.0000000000      0.2734605313      0.0002490773    107.4201591170     11.8153138303    939.5656305188    938.2723404280
        318562.3906  0.05728624636501  8.1399364066e+14  9.9866823006e+34  2.6876072700e+01      1.6560876410 -8.5833364091e+04      0.6117201601    153.4056761837    304.9414738579    198.8493997507     48.6068921673     21.5181163045   -130.0176813698      0.7261653481      0.2738346519      0.0000000000      0.0000000000      0.0000000000      0.2735668788      0.0002677731    105.9638274410     10.8339859278    939.5656305188    938.2723404280
        327601.8125  0.06212975621541  8.1003024132e+14  9.9272810195e+34  2.7267828598e+01      1.6792788737 -9.2701547303e+04      0.6125409996    153.1513103740    304.2517172458    196.7364623215     46.9293455404     21.6647060583   -129.4357008135      0.7260520123      0.2739479877      0.0000000000      0.0000000000      0.0000000000      0.2736588295      0.0002891582    104.4168306162      9.7841971082    939.5656305188    938.2723404280
        336897.7344  0.06737070872094  8.0578052606e+14  9.8679414188e+34  2.7693431487e+01      1.7046429304 -1.0112695837e+05      0.6134083905    152.8499956554    303.4703870674    194.4242488942     45.0971475730     21.8166788249   -128.8037125871      0.7258884218      0.2741115782      0.0000000000      0.0000000000      0.0000000000      0.2737969923      0.0003145859    102.7411068887      8.6612184695    939.5656305188    938.2723404280
        346457.4375  0.07303962738864  8.0126522828e+14  9.8060292310e+34  2.8159168452e+01      1.7320710275 -1.1069821469e+05      0.6143249365    152.4929042096    302.6228795609    191.9554595661     43.1187743055     22.0165305450   -128.1134448064      0.7257382991      0.2742617009      0.0000000000      0.0000000000      0.0000000000      0.2739172575      0.0003444435    100.9564025110      7.4560641273    939.5656305188    938.2723404280
        356288.4062  0.07916917261467  7.9646800960e+14  9.7413307189e+34  2.8667403850e+01      1.7616570740 -1.2107575277e+05      0.6152933542    152.0696437635    301.7029622804    189.3190675061     40.9790390800     22.2736607037   -127.3596578132      0.7256090404      0.2743909596      0.0000000000      0.0000000000      0.0000000000      0.2740115363      0.0003794233     99.0559751986      6.1613988450    939.5656305188    938.2723404280
        366398.3438  0.08579396555123  7.9133544503e+14  9.6746014153e+34  2.9223238003e+01      1.7939733864 -1.3221808860e+05      0.6163164743    151.5696684928    300.7044425646    186.4556214506     38.6141374696     22.6004145386   -126.5343595333      0.7254892158      0.2745107842      0.0000000000      0.0000000000      0.0000000000      0.2740887833      0.0004220008     97.0141971771      4.7631835805    939.5656305188    938.2723404280
        376795.1562  0.09295079795789  7.8589058463e+14  9.6046032423e+34  2.9829876039e+01      1.8287379882 -1.4436215695e+05      0.6173972587    150.9792328301    299.6169012570    183.4076800339     36.0633016978     23.0071092091   -125.6305592178      0.7254089078      0.2745910922      0.0000000000      0.0000000000      0.0000000000      0.2741173704      0.0004737217     94.8436730419      3.2599224673    939.5656305188    938.2723404280
        387486.9844  0.10067865764993  7.8007320532e+14  9.5320015670e+34  3.0490172921e+01      1.8664123735 -1.5735804122e+05      0.6185388269    150.2846925557    298.4348057940    180.1036643671     33.2468412197     23.5092823952   -124.6408308431      0.7253581262      0.2746418738      0.0000000000      0.0000000000      0.0000000000      0.2741063299      0.0005355439     92.5153757783      1.6348364451    939.5656305188    938.2723404280
        398482.2031  0.10901859043361  7.7386803829e+14  9.4594623877e+34  3.1210413204e+01      1.9071615048 -1.7111908915e+05      0.6197444403    149.4647148116    297.0775878286    176.5334372347     30.2138543084     24.0591808247   -123.5536921923      0.7252756769      0.2747243231      0.0000000000      0.0000000000      0.0000000000      0.2741134260      0.0006108971     90.0072655059     -0.1065838883    939.5656305188    938.2723404280
