# Hydro quantities of SFHo-s18.80-MUONS at time t_pb= 1.0001996s
shock radius= 8710.0523 km, gain radius= 21.053746 km
# cols=25 rows=1088 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
         11666.6670  0.00000785776163  5.8739082604e+14  3.8371974728e+34  1.9264680579e+01      1.1062658594 -7.1240608945e+06      0.7363726192    149.5551015548    254.8428829160     99.1766563490     -4.8178349214     46.6748600433    -58.6129213178      0.7826631181      0.2173368819      0.0000000000      0.0000000000      0.0000000000      0.2170683237      0.0002685581    -27.9292399256    -56.8192685911    541.0057497388    539.7124596480
         35000.0010  0.00007066327867  5.8678665096e+14  3.8282534395e+34  1.9248920647e+01      1.1062500728  5.9040360777e+05      0.7364788125    149.5051760956    254.7562734268     98.9627477640     -4.9950594765     46.7196125009    -58.5314848303      0.7826704915      0.2173295085      0.0000000000      0.0000000000      0.0000000000      0.2170610134      0.0002684952    -28.0181394503    -56.9379377355    541.2707544174    539.9774643266
         58333.3340  0.00027448245059  5.8571464147e+14  3.8262936218e+34  1.9309011895e+01      1.1117971597  4.7526683169e+02      0.7367129889    150.0782838065    254.9316945705     98.4627237938     -5.0973968795     46.3901169426    -58.4632938214      0.7817696857      0.2182303143      0.0000000000      0.0000000000      0.0000000000      0.2179620484      0.0002682659    -28.1638912161    -57.0362225303    541.7551753435    540.4618852527
         92719.9922  0.00115809204214  5.8368521135e+14  3.7965047047e+34  1.9255505977e+01      1.1117443542 -1.5239105147e+05      0.7372552303    149.9309510959    254.6513141398     97.7386656556     -5.6884072975     46.5462350196    -58.1741280243      0.7817708634      0.2182291366      0.0000000000      0.0000000000      0.0000000000      0.2179612215      0.0002679152    -28.4643861353    -57.4341783517    542.6485276549    541.3552375641
        130188.5000  0.00281347102485  5.8043047881e+14  3.7562592645e+34  1.9367608211e+01      1.1220339769  1.4902810084e+05      0.7380611249    149.1266551295    253.9077891837     96.6047356152     -6.8831083481     46.8254306029    -57.9557034513      0.7822406082      0.2177593918      0.0000000000      0.0000000000      0.0000000000      0.2174781225      0.0002812693    -28.8660371540    -58.0469375244    544.1692433152    542.8759532244
        154510.9062  0.00456946234622  5.7771548035e+14  3.7299165710e+34  1.9492958829e+01      1.1328512439  1.1344341803e+04      0.7387341633    148.8550323782    253.4821843591     95.5853785779     -7.7484833122     46.8876394106    -57.7395125703      0.7820936057      0.2179063943      0.0000000000      0.0000000000      0.0000000000      0.2176135303      0.0002928641    -29.2035075325    -58.5014728055    545.4446061285    544.1513160377
        170299.6172  0.00606079607910  5.7577328415e+14  3.7081849124e+34  1.9580421373e+01      1.1402097211  5.7559506802e+04      0.7392115594    148.4156026633    253.0543384182     94.8896950389     -8.4557506252     47.0565036525    -57.5822321024      0.7822923923      0.2177076077      0.0000000000      0.0000000000      0.0000000000      0.2174045598      0.0003030479    -29.4403517425    -58.8565344457    546.3654570745    545.0721669837
        180548.7422  0.00719412371174  5.7439333637e+14  3.6938039861e+34  1.9646458024e+01      1.1457282495  4.1775188926e+04      0.7395409009    148.1670034965    252.7817337991     94.3834504173     -8.9379897945     47.1466592838    -57.4680710188      0.7823500406      0.2176499594      0.0000000000      0.0000000000      0.0000000000      0.2173397891      0.0003101702    -29.6097161348    -59.1007849478    547.0211915360    545.7279014452
        187201.8828  0.00800401249281  5.7345586749e+14  3.6839444378e+34  1.9691677387e+01      1.1494862805  4.6771319035e+04      0.7397631106    147.9862167323    252.5904330311     94.0404357647     -9.2704904434     47.2142269563    -57.3899893426      0.7824033029      0.2175966971      0.0000000000      0.0000000000      0.0000000000      0.2172814584      0.0003152387    -29.7246522038    -59.2683008015    547.4678694744    546.1745793836
        192513.8672  0.00869773133806  5.7267977683e+14  3.6758851154e+34  1.9729465311e+01      1.1526243437  4.5414216534e+04      0.7399455752    147.8421637261    252.4347904965     93.7550952344     -9.5442414452     47.2672599709    -57.3253667995      0.7824399681      0.2175600319      0.0000000000      0.0000000000      0.0000000000      0.2172406053      0.0003194266    -29.8200329227    -59.4064446267    547.8381327856    546.5448426948
        197976.5859  0.00945114342031  5.7185812026e+14  3.6673825018e+34  1.9769839047e+01      1.1559672334  4.4800828316e+04      0.7401381125    147.6888557003    252.2695234310     93.4525690092     -9.8348086307     47.3241943467    -57.2564733840      0.7824792495      0.2175207505      0.0000000000      0.0000000000      0.0000000000      0.2171968385      0.0003239120    -29.9210646140    -59.5528743287    548.2307638234    546.9374737326
        203594.3125  0.01026931564570  5.7098798337e+14  3.6584190545e+34  1.9813005224e+01      1.1595310657  4.4035572280e+04      0.7403416219    147.5262733220    252.0942933562     93.1316090147    -10.1431209287     47.3850816693    -57.1829383649      0.7825205494      0.2174794506      0.0000000000      0.0000000000      0.0000000000      0.2171507356      0.0003287150    -30.0281344143    -59.7080675602    548.6472511606    547.3539610698
        209371.4453  0.01115773475365  5.7006646333e+14  3.6489705278e+34  1.9859165735e+01      1.1633314734  4.2990879885e+04      0.7405567289    147.3538482480    251.9084719695     92.7910369125    -10.4702967182     47.4501939114    -57.1044298101      0.7825639169      0.2174360831      0.0000000000      0.0000000000      0.0000000000      0.2171021495      0.0003339335    -30.1416207468    -59.8725675144    549.0891017600    547.7958116693
        215312.5078  0.01212233989120  5.6909048765e+14  3.6390122451e+34  1.9908537912e+01      1.1673845649  4.1534273827e+04      0.7407840869    147.1709613198    251.7114079569     92.4296059123    -10.8175506340     47.5198578081    -57.0205888290      0.7826094796      0.2173905204      0.0000000000      0.0000000000      0.0000000000      0.2170509664      0.0003395539    -30.2619249036    -60.0469596306    549.5579220901    548.2646319993
